,Open,High,Low,Close,Volume,Daily_Return,Target,SMA_5,SMA_10,SMA_20,Volatility_5,Price_VS_SMA5,Price_VS_SMA20,Momentum_5,RSI_14,Return_Lag1,Return_Lag2,Return_Lag3,Close_Lag1,Close_Lag2
Volatility_5,-0.14040636075678276,-0.135834553769957,-0.14500633682134134,-0.14029187182075942,0.2819141527093155,0.045581664439434476,-0.013373745717073364,-0.13995253450181183,-0.137961575331617,-0.1335465476023289,1.0,0.006813888736505285,-0.1256050861185269,-0.049383040778397495,-0.1896184022839935,0.01949373410440084,0.001737915452612561,-0.008341862120443749,-0.14042594781272721,-0.14018309140939894
Price_VS_SMA5,0.006633170714172701,0.009714879989156797,0.011250514135807988,0.014454957748547447,0.023284712146540588,0.7271902449015194,-0.015669064666829234,-0.004939695768024555,-0.011072845561705747,-0.014245025095468915,0.006813888736505285,1.0,0.6585476698687565,0.5727897262148917,0.4162494360626136,0.5078766572410308,0.3616621637226118,0.1807992453179392,0.0012362126578319853,-0.0081242899560653
Price_VS_SMA20,0.025124737194824987,0.026171610433845808,0.028155833015459358,0.029137856458937537,0.05139650484241917,0.3744641479859066,-0.012993185252259795,0.016330580675222802,0.003244443333582986,-0.014293504456610973,-0.1256050861185269,0.6585476698687565,1.0,0.5399650054054779,0.7897194889751908,0.3373011445709832,0.33180658852574857,0.30880805555025936,0.022236313069243445,0.015969959499687162
Momentum_5,0.08699847351160633,0.08915977099178705,0.09178633398039233,0.09380926148693829,-0.014485331524539196,0.3084246666330499,-0.015824780229084116,0.07164394858724478,0.05537904548422186,0.04740083980234016,-0.049383040778397495,0.5727897262148917,0.5399650054054779,1.0,0.40081724329983903,0.2980809102841442,0.30754804450824624,0.2980633310007566,0.08256565508533827,0.07159514575575188
RSI_14,0.06012567635712488,0.05985935945116522,0.06330700441145046,0.06295651058511316,0.0020298172264289773,0.22102680268261718,-0.010162858614813874,0.0540534332204245,0.04324464224307,0.02527022979030851,-0.1896184022839935,0.4162494360626136,0.7897194889751908,0.40081724329983903,1.0,0.2191091546604862,0.21900501691009605,0.2143291625488683,0.05846810063436163,0.05398982573401147
Return_Lag1,0.00592465262167897,0.005509254678855795,0.006268711247172302,0.005349062579101204,0.017041919941358803,-0.05352999301983489,0.014960394266448105,-0.0046117941974244715,-0.007844302178771483,-0.009404655680049473,0.01949373410440084,0.5078766572410308,0.3373011445709832,0.2980809102841442,0.2191091546604862,1.0,-0.05371904191048063,0.03546221396798386,0.00614847309568594,-0.011972953309221114
Return_Lag2,0.005900598986264701,0.005589376209595596,0.0063210120163968205,0.005986647205704364,0.009345725102665918,0.035529312667297835,-0.017554058102274693,-0.0008665329332674378,-0.005808157234648548,-0.00828833786358927,0.001737915452612561,0.3616621637226118,0.33180658852574857,0.30754804450824624,0.21900501691009605,-0.05371904191048063,1.0,-0.05374448462141524,0.005655487635114735,0.006466084540750434
Return_Lag3,0.005999954918697938,0.005833022300945489,0.0062372022430969174,0.005970653338621589,0.018501086668655294,-0.010879085680707667,-0.0022613487362101513,0.0026298484945911278,-0.004038888640665262,-0.007305053690286534,-0.008341862120443749,0.1807992453179392,0.30880805555025936,0.2980633310007566,0.2143291625488683,0.03546221396798386,-0.05374448462141524,1.0,0.006159502431112317,0.005831603962568681
Close_Lag1,0.9998689598140986,0.9997822978202848,0.9997565932203211,0.9996702270214908,-0.1784641536801827,-0.012156568342195487,0.007822722060390534,0.9998066007929278,0.999368680473392,0.9984029230437935,-0.14042594781272721,0.0012362126578319853,0.022236313069243445,0.08256565508533827,0.05846810063436163,0.00614847309568594,0.005655487635114735,0.006159502431112317,1.0,0.9996700945081807
Close_Lag2,0.9995442491933991,0.9994746827213536,0.9994161487716303,0.999361548453232,-0.17843253606443668,-0.01133568495505029,0.007738106698791619,0.999867861029682,0.9995482921341549,0.9986386240094077,-0.14018309140939894,-0.0081242899560653,0.015969959499687162,0.07159514575575188,0.05398982573401147,-0.011972953309221114,0.006466084540750434,0.005831603962568681,0.9996700945081807,1.0
